probename,Probability,foldchange,Representative.Public.ID,UniGene.ID,Gene.Title,Gene.Symbol,,,,
1421041_s_at,1,5.850466794,NM_008182,Mm.371562,"glutathione S-transferase, alpha 1 (Ya) /// glutathione S-transferase, alpha 2 (Yc2)",Gsta1 /// Gsta2,,,,
1420760_s_at,1,5.835627263,NM_008681,---,N-myc downstream regulated-like,Ndrl,,,,
1445349_at,1,5.822380102,BB536254,Mm.136889,LOC434338,---,,,,
1424138_at,1,5.774204884,BC027346,Mm.11545,rhomboid family 1 (Drosophila),Rhbdf1,,,,
1448830_at,1,5.760572468,NM_013642,Mm.239041,dual specificity phosphatase 1,Dusp1,,,,
1455010_at,1,5.747009571,BE859736,Mm.272405,RIKEN cDNA 1500012F01 gene,1500012F01Rik,,,,
1416041_at,1,5.74490821,NM_011361,Mm.28405,serum/glucocorticoid regulated kinase,Sgk,,,,
1448300_at,1,5.738956998,NM_025569,Mm.218286,microsomal glutathione S-transferase 3,Mgst3,,,,
1420405_at,1,5.727302812,NM_030687,Mm.255586,"solute carrier organic anion transporter family, member 1a4",Slco1a4,,,,
1418571_at,1,5.704750655,NM_013749,Mm.28518,"tumor necrosis factor receptor superfamily, member 12a",Tnfrsf12a,,,,
1454890_at,1,5.687943608,BG067039,Mm.100068,angiomotin,Amot,,,,
1417594_at,1,5.680128926,NM_019832,Mm.296625,G kinase anchoring protein 1,Gkap1,,,,
1455180_at,1,5.671481587,BG063148,---,similar to LOC363091 protein,LOC546142,,,,
1427888_a_at,1,5.66988543,AK011566,Mm.204969,spectrin alpha 2,Spna2,,,,
1450154_at,1,5.651138819,NM_016770,Mm.269137,folate hydrolase,Folh1,,,,
1422660_at,1,5.645202659,AY052560,Mm.371574,RNA binding motif protein 3,Rbm3,,,,
1436287_at,1,5.582994683,BF466943,---,---,---,,,,
1416689_at,1,5.548225838,NM_011656,Mm.10214,tuftelin 1,Tuft1,,,,
1434418_at,1,5.540589446,BQ176664,Mm.222222,longevity assurance homolog 6 (S. cerevisiae),Lass6,,,,
1455516_at,1,5.524833138,BG065199,Mm.355570,Transcribed locus,---,,,,
1452778_x_at,1,5.515377569,AK004633,Mm.290407,nucleosome assembly protein 1-like 1,Nap1l1,,,,
1455871_s_at,1,5.456439954,AV139821,Mm.186,Tax1 (human T-cell leukemia virus type I) binding protein 3 /// ribosomal protein L13,Tax1bp3 /// Rpl13,,,,
1455961_at,1,5.452234754,AV174022,Mm.296022,Membrane metallo endopeptidase,Mme,,,,
1454078_a_at,1,5.443981785,AK002510,Mm.103414,galactose-3-O-sulfotransferase 1,Gal3st1,,,,
1417634_at,1,5.435103759,NM_011435,Mm.2407,"superoxide dismutase 3, extracellular",Sod3,,,,
1419513_a_at,1,5.430331973,NM_007900,Mm.261453,ect2 oncogene,Ect2,,,,
1420476_a_at,1,5.425309808,BG064031,Mm.290407,nucleosome assembly protein 1-like 1,Nap1l1,,,,
1427442_a_at,1,5.419783901,BC005490,Mm.277585,amyloid beta (A4) precursor protein,App,,,,
1419590_at,1,5.390297228,NM_010000,Mm.14413,"cytochrome P450, family 2, subfamily b, polypeptide 9",Cyp2b9,,,,
1456174_x_at,1,5.358856848,AV309418,Mm.30837,N-myc downstream regulated gene 1,Ndrg1,,,,
1450783_at,1,5.35342815,NM_008331,Mm.6718,interferon-induced protein with tetratricopeptide repeats 1,Ifit1,,,,
1428636_at,1,5.286593796,AK015015,Mm.274956,six transmembrane epithelial antigen of prostate 2,Steap2,,,,
1416881_at,1,5.244927256,BC003839,Mm.1639,myeloid cell leukemia sequence 1,Mcl1,,,,
1417633_at,1,5.220871204,NM_011435,Mm.2407,"superoxide dismutase 3, extracellular",Sod3,,,,
1449009_at,1,5.209237562,NM_011579,Mm.15793,T-cell specific GTPase,Tgtp,,,,
1458440_at,1,5.205183242,BB827631,Mm.37803,spectrin domain with coiled-coils 1,Specc1,,,,
1420477_at,1,5.194000433,BG064031,Mm.290407,nucleosome assembly protein 1-like 1,Nap1l1,,,,
1429154_at,1,5.191812679,BG069340,Mm.26159,"Solute carrier family 35, member F2",Slc35f2,,,,
1416473_a_at,1,5.169914059,NM_020043,Mm.209041,neighbor of Punc E11,Nope,,,,
1460406_at,1,5.152354918,BC026410,Mm.11869,expressed sequence AI427122,AI427122,,,,
1417399_at,1,5.143301882,NM_019521,Mm.3982,growth arrest specific 6,Gas6,,,,
1452387_a_at,1,5.142756441,AI156725,Mm.21145,angiomotin like 2,Amotl2,,,,
1439163_at,1,5.12825764,BQ174973,Mm.34106,"Transcribed locus, weakly similar to NP_473118.2 hypothetical protein [Plasmodium falciparum 3D7]",---,,,,
1437945_x_at,1,5.089517857,AA260459,Mm.290407,nucleosome assembly protein 1-like 1,Nap1l1,,,,
1416125_at,1,5.089337198,U16959,Mm.276405,FK506 binding protein 5,Fkbp5,,,,
1434100_x_at,1,5.074187493,BB752393,Mm.377027,Transcribed locus,---,,,,
1436737_a_at,1,5.073909735,BB737680,Mm.210815,sorbin and SH3 domain containing 1,Sorbs1,,,,
1455007_s_at,1,5.067134391,BI648645,Mm.200423,glutamic pyruvate transaminase (alanine aminotransferase) 2,Gpt2,,,,
1422629_s_at,1,5.062894701,NM_015756,Mm.46014,shroom,Shrm,,,,
1434542_at,1,5.060922193,BI648645,Mm.200423,glutamic pyruvate transaminase (alanine aminotransferase) 2,Gpt2,,,,
1450971_at,1,5.058838669,AK010420,Mm.1360,growth arrest and DNA-damage-inducible 45 beta,Gadd45b,,,,
1455980_a_at,1,5.05038178,BB770972,Mm.354736,Growth arrest-specific 2 like 3,Gas2l3,,,,
1428416_at,1,5.046565365,BE198251,Mm.332366,RIKEN cDNA 3110050N22 gene,3110050N22Rik,,,,
1436178_at,1,5.005191727,AW553532,Mm.326869,leprecan-like 1,Leprel1,,,,
1424962_at,1,4.993423651,BC010814,Mm.26618,transmembrane 4 superfamily member 4,Tm4sf4,,,,
1416067_at,1,4.982653535,NM_013562,Mm.168,interferon-related developmental regulator 1,Ifrd1,,,,
1423259_at,1,4.976431172,BB121406,Mm.283273,inhibitor of DNA binding 4,Id4,,,,
1418488_s_at,1,4.947373995,AF302127,Mm.35290,receptor-interacting serine-threonine kinase 4,Ripk4,,,,
1420478_at,1,4.938769139,BG064031,Mm.290407,nucleosome assembly protein 1-like 1,Nap1l1,,,,
1417694_at,1,4.912935483,NM_021356,Mm.277409,growth factor receptor bound protein 2-associated protein 1,Gab1,,,,
1450976_at,1,4.910846945,AI987929,Mm.30837,N-myc downstream regulated gene 1,Ndrg1,,,,
1427061_at,1,4.903249371,BB167067,Mm.154275,retinoblastoma binding protein 8,Rbbp8,,,,
1421375_a_at,1,4.898475022,NM_011313,Mm.100144,S100 calcium binding protein A6 (calcyclin),S100a6,,,,
1427261_at,1,4.888541013,BQ176786,Mm.31267,cDNA sequence BC037006,BC037006,,,,
1417860_a_at,1,4.887277871,NM_133903,Mm.34694,"spondin 2, extracellular matrix protein",Spon2,,,,
1424176_a_at,1,4.875481447,BE628614,Mm.259702,annexin A4,Anxa4,,,,
1455148_at,1,4.867903612,AV173792,Mm.126793,hypothetical protein C130036G08,C130036G08,,,,
1420342_at,1,4.847373394,NM_010268,Mm.358597,ganglioside-induced differentiation-associated-protein 10,Gdap10,,,,
1416591_at,1,4.84210138,AF327929,Mm.275864,"RAB34, member of RAS oncogene family",Rab34,,,,
1437165_a_at,1,4.820621429,BB250811,Mm.262345,procollagen C-proteinase enhancer protein,Pcolce,,,,
1420688_a_at,1,4.802133371,NM_011360,Mm.8739,"sarcoglycan, epsilon",Sgce,,,,
1417453_at,1,4.797122462,AW536452,Mm.327675,cullin 4B,Cul4b,,,,
1435486_at,1,4.781370689,BQ175796,Mm.40035,P21 (CDKN1A)-activated kinase 3,Pak3,,,,
1420924_at,1,4.747032156,M93954,Mm.206505,tissue inhibitor of metalloproteinase 2,Timp2,,,,
1450048_a_at,1,4.721157495,NM_008322,Mm.246432,"isocitrate dehydrogenase 2 (NADP+), mitochondrial",Idh2,,,,
1420911_a_at,1,4.712994074,NM_008594,Mm.1451,milk fat globule-EGF factor 8 protein,Mfge8,,,,
1418540_a_at,1,4.711888056,U35368,Mm.945,"protein tyrosine phosphatase, receptor type, E",Ptpre,,,,
1455439_a_at,1,4.691803675,AI642438,Mm.43831,"lectin, galactose binding, soluble 1",Lgals1,,,,
1437751_at,1,4.684769936,AV337619,Mm.259072,"peroxisome proliferative activated receptor, gamma, coactivator 1 alpha",Ppargc1a,,,,
1427258_at,1,4.683804229,BB611004,Mm.41063,tripartite motif protein 24,Trim24,,,,
1420820_at,1,4.677929686,NM_026064,Mm.261329,RIKEN cDNA 2900073G15 gene,2900073G15Rik,,,,
1449410_a_at,1,4.669610491,NM_013525,Mm.270065,growth arrest specific 5,Gas5,,,,
1430700_a_at,1,4.657379923,AK005158,Mm.9277,"phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)",Pla2g7,,,,
1415904_at,1,4.656201677,BC003305,Mm.1514,lipoprotein lipase,Lpl,,,,
1455481_at,1,4.642426599,BM241722,Mm.233083,iduronate 2-sulfatase,Ids,,,,
